code_site,libelle_site,code_station,libelle_station,type_station,coordonnee_x_station,coordonnee_y_station,code_projection,longitude_station,latitude_station,influence_locale_station,commentaire_station,altitude_ref_alti_station,code_systeme_alti_site,code_commune_station,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,descriptif_station,date_maj_station,date_ouverture_station,date_fermeture_station,commentaire_influence_locale_station,code_regime_station,qualification_donnees_station,code_finalite_station,type_contexte_loi_stat_station,type_loi_station,date_debut_ref_alti_station,date_activation_ref_alti_station,date_maj_ref_alti_station,libelle_departement,en_service,geometry.type,geometry.crs.type,geometry.crs.properties.name,geometry.coordinates1,geometry.coordinates2
I2001011,L'Orne à Belfonds,I200101101,L'Orne à Belfonds,LIMNI,488690.0,6840110.0,26,0.132109754,48.626637922,0.0,,,,61036,BELFONDS,61,28,NORMANDIE,I2--0200,L'Orne,http://id.eaufrance.fr/CEA/I2--0200,,2023-04-11T00:00:00Z,2016-12-13T00:00:00Z,,,1,20,1247.0,,,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.132109753620978,48.6266379222677
I2102010,La Vie à Guerquesalles [Les Longs Champs],I210201001,La Vie à Guerquesalles [Les Longs Champs],LIMNI,495683.0,6870741.0,26,0.212267857,48.904206181,1.0,,,,61198,GUERQUESALLES,61,28,NORMANDIE,I13-0400,La Vie,http://id.eaufrance.fr/CEA/I13-0400,,2024-06-12T00:00:00Z,1998-01-01T00:00:00Z,,,1,12,12.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.212267856582518,48.9042061813651
I2230001,L'Orne à Rabodanges [EDF],I223000101,L'Orne à Rabodanges [EDF],LIMNI,406431.0,2424304.0,5,-0.296931124,48.787963821,,LES VALEURS PUBLIEES REPRESENTENT LES DEBITS NATURELS RECONSTITUES DE L'ORNE AU BARRAGE DE RABODANGES. POINT DE MESURE RATTACHE AU RESEAU DE MESURE HYDROMETRIQUE NATIONAL DE BASE. Données produites par EDF-DTG.  Station remplacée : I3131020 (code Hydro3: I223000201) - L'Orne à Putanges-Pont-Écrepin,,,61340,RABODANGES,61,28,NORMANDIE,I2--0200,L'Orne,http://id.eaufrance.fr/CEA/I2--0200,,2024-01-19T00:00:00Z,1960-01-01T00:00:00Z,,Attention: il s'agit d'un débit naturel reconstitué (QNR),1,16,,,,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.296931123510843,48.7879638213683
I2230002,L'Orne à Putanges-Pont-Écrepin [EDF],I223000201,L'Orne à Putanges-Pont-Écrepin [EDF],LIMNI,406431.0,2424304.0,5,-0.296931124,48.787963821,1.0,Station de remplacement : I3131010 (code Hydro3: I223000101) - L'Orne à Rabodanges. Données produites par EDF-DTG.,,,61339,PUTANGES-LE-LAC,61,28,NORMANDIE,I2--0200,L'Orne,http://id.eaufrance.fr/CEA/I2--0200,,2024-01-04T00:00:00Z,1945-01-01T00:00:00Z,1960-01-01T00:00:00Z,,1,16,,,,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.296931123510843,48.7879638213683
I2480001,La Vère à Athis-de-l'Orne [Le Pont Grat],I248000101,La Vère à Athis-de-l'Orne [Le Pont Grat],LIMNI,439965.0,6862160.0,26,-0.541797375,48.807018514,,"Station d'essai mise en place en novembre 2020 par la DREAL Normandie pour se substituer (à terme?) à la station de la Vère à St Pierre du Regard, dangereuse pour les intervenants.",,,61007,ATHIS-VAL DE ROUVRE,61,28,NORMANDIE,I24-0410,La Vere,http://id.eaufrance.fr/CEA/I24-0410,,2023-04-11T00:00:00Z,2020-11-20T00:00:00Z,,,1,16,127.0,,,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.54179737540405,48.8070185141397
I3031010,L'Orne à Argentan,I303101001,L'Orne à Argentan,LIMNI,477640.0,6853462.0,26,-0.024655648,48.742942109,3.0,Station sans courbe de tarage. Enregistrement de niveaux seulement.,151340.0,3.0,61006,ARGENTAN,61,28,NORMANDIE,I2--0200,L'Orne,http://id.eaufrance.fr/CEA/I2--0200,,2023-04-11T00:00:00Z,1996-01-01T00:00:00Z,,Végétation en étiage. Inondations à l'aval en hautes eaux.,1,16,,1.0,2.0,1996-01-01T00:00:00Z,2013-11-18T00:00:00Z,2021-09-24T00:00:00Z,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.0246556482693504,48.7429421087128
I3033010,L'Ure au Bourg-Saint-Léonard,I303301001,L'Ure au Bourg-Saint-Léonard,LIMNI,486853.0,6854324.0,26,0.100118857,48.753797388,1.0,,,,61057,BOURG-SAINT-LEONARD,61,28,NORMANDIE,I21-0400,L'Ure,http://id.eaufrance.fr/CEA/I21-0400,,2023-04-11T00:00:00Z,1991-02-14T00:00:00Z,,,1,20,127.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.100118857386569,48.753797387781
I3103010,La Cance à Tanques [La Noé],I310301001,La Cance à Tanques [La Noé],LIMNI,473110.0,6848042.0,26,-0.083335615,48.692653974,1.0,,156000.0,0.0,61479,TANQUES,61,28,NORMANDIE,I21-0420,La Cance,http://id.eaufrance.fr/CEA/I21-0420,,2024-06-12T00:00:00Z,1996-10-02T00:00:00Z,,,1,20,12.0,1.0,2.0,1996-10-02T00:00:00Z,2013-11-18T00:00:00Z,2021-09-24T00:00:00Z,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.083335615493097,48.6926539740287
I3113010,L'Udon à Écouché,I311301001,L'Udon à Écouché,LIMNI,469888.0,6850651.0,26,-0.12847971,48.714962644,1.0,,149000.0,3.0,61153,ECOUCHE-LES-VALLEES,61,28,NORMANDIE,I21-0410,L'Udon,http://id.eaufrance.fr/CEA/I21-0410,,2024-06-12T00:00:00Z,1997-01-15T00:00:00Z,,,3,12,12.0,1.0,2.0,1997-01-15T00:00:00Z,2013-11-18T00:00:00Z,2021-09-24T00:00:00Z,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.128479709839393,48.7149626435641
I3121010,L'Orne à la Courbe [Pont RD 776],I312101001,L'Orne à la Courbe [Pont RD 776] - Aval,LIMNI,465893.0,6854457.0,26,-0.18482114,48.747731175,1.0,Fermeture de la station le 16/09/2021. Remplacée par la station I312101002 située sur la face amont du pont (nouvelle échelle et nouveaux capteurs). Cette nouvelle station permet un meilleur tarage en basses eaux.,,,61127,COURBE,61,28,NORMANDIE,I2--0200,L'Orne,http://id.eaufrance.fr/CEA/I2--0200,,2024-06-12T00:00:00Z,1996-12-05T00:00:00Z,2021-09-16T00:00:00Z,,1,12,12347.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.18482114026148,48.747731175125
I3121010,L'Orne à la Courbe [Pont RD 776],I312101002,L'Orne à la Courbe [Pont RD 776] - Amont,LIMNI,465883.0,6854457.0,26,-0.184957034,48.747727548,1.0,"Cette station située sur la face amont du pont (nouvelle échelle et nouveaux capteurs), créée en 2017, remplace à partir de 2021 la station I312101001, située sous le pont. Cette nouvelle station permet un meilleur tarage en basses eaux.",,,61127,COURBE,61,28,NORMANDIE,I2--0200,L'Orne,http://id.eaufrance.fr/CEA/I2--0200,,2024-06-12T00:00:00Z,2017-05-01T00:00:00Z,,,1,12,12347.0,,,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.184957034021252,48.7477275484195
I3123210,La Maire à Sevrai [Le Poirier],I312321001,La Maire à Sevrai [Le Poirier],LIMNI,467739.0,6851084.0,26,-0.157900672,48.718084896,1.0,,,,61473,SEVRAI,61,28,NORMANDIE,I2210600,La Maire,http://id.eaufrance.fr/CEA/I2210600,,2023-10-05T00:00:00Z,1996-10-02T00:00:00Z,2004-06-01T00:00:00Z,,1,20,12.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.157900671624327,48.7180848962649
I3302020,La Rouvre à Saint-Hilaire-de-Briouze [Le Tranchot],I330202001,La Rouvre à Saint-Hilaire-de-Briouze [Le Tranchot],LIMNI,455499.0,6847757.0,26,-0.322226332,48.683669451,,"Cette station a été remise en service en 2017 par le SIAEP du Houlme qui assure la gestion des équipement. La DREAL Normandie assure la réalisation de jaugeages, le suivi de la courbe de tarage, le traitement des données et leur bancarisation.",,,61402,SAINT-HILAIRE-DE-BRIOUZE,61,28,NORMANDIE,I23-0400,La Rouvre,http://id.eaufrance.fr/CEA/I23-0400,,2023-04-11T00:00:00Z,1997-05-21T00:00:00Z,,,1,20,17.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.322226331999315,48.6836694505954
I3343010,Le Lembron à Taillebois [Le Fil],I334301001,Le Lembron à Taillebois [Le Fil],LIMNI,447103.0,6862157.0,26,-0.444697761,48.809830635,1.0,,,,61478,TAILLEBOIS,61,28,NORMANDIE,I2360600,Le Lembron,http://id.eaufrance.fr/CEA/I2360600,,2023-10-05T00:00:00Z,1974-10-01T00:00:00Z,1987-01-01T00:00:00Z,,1,20,12.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.444697760694401,48.8098306354922
I3352010,La Rouvre à Ségrie-Fontaine [Maison de la Rivière],I335201001,La Rouvre à Ségrie-Fontaine [Maison de la Rivière],LIMNI,450540.0,6862219.0,26,-0.39797704,48.811726624,1.0,,,,61465,SEGRIE-FONTAINE,61,28,NORMANDIE,I23-0400,La Rouvre,http://id.eaufrance.fr/CEA/I23-0400,,2024-06-12T00:00:00Z,1997-02-15T00:00:00Z,,,1,20,12.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.39797704010925,48.8117266237437
I3422010,Le Noireau à Saint-Pierre-d'Entremont,I342201001,Le Noireau à Saint-Pierre-d'Entremont,LIMNI,432995.0,6861818.0,26,-0.636385214,48.801097592,1.0,Station installée pour l'annonce de crue. Les débits n'ont pas la précision de ceux d'une station à but d'hydrométrie générale.,,,61445,SAINT-PIERRE-D'ENTREMONT,61,28,NORMANDIE,I24-0400,Le Noireau,http://id.eaufrance.fr/CEA/I24-0400,,2023-04-11T00:00:00Z,1996-11-01T00:00:00Z,,,1,12,12.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.636385213867025,48.801097592172
I3462010,Le Noireau à Cahan [Les Planches - CD 911],I346201001,Le Noireau à Cahan [Les Planches - CD 911],LIMNI,447838.0,6868467.0,26,-0.438439289,48.866812831,1.0,,,,61069,CAHAN,61,28,NORMANDIE,I24-0400,Le Noireau,http://id.eaufrance.fr/CEA/I24-0400,,2024-06-12T00:00:00Z,1997-02-05T00:00:00Z,,,1,20,127.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.43843928927974,48.8668128310451
I3463010,La Vère à Saint-Pierre-du-Regard,I346301001,La Vère à Saint-Pierre-du-Regard,LIMNI,442480.0,6866483.0,26,-0.510202996,48.846868109,1.0,,,,61447,SAINT-PIERRE-DU-REGARD,61,28,NORMANDIE,I24-0410,La Vere,http://id.eaufrance.fr/CEA/I24-0410,,2023-04-11T00:00:00Z,1975-07-01T00:00:00Z,,,1,20,12.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.510202995521453,48.8468681089634
I3463510,La Visance à Landisacq,I346351001,La Visance à Landisacq,LIMNI,430914.0,6855535.0,26,-0.66072205,48.743784856,1.0,Station en fonction effective du 01/03/1993 au 08/02/2000. Les données antérieures et postérieures sont reconstituées d'après la station I3463010.,,,61222,LANDISACQ,61,28,NORMANDIE,I2470600,La Visance,http://id.eaufrance.fr/CEA/I2470600,,2023-10-05T00:00:00Z,1975-07-01T00:00:00Z,2000-02-08T00:00:00Z,,1,20,12.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.660722049534256,48.7437848555803
I3463520,La Visance à Landisacq [Plan d'eau],I346352001,La Visance à Landisacq [Plan d'eau],LIMNI,431238.0,6855537.0,26,-0.656321822,48.743937793,2.0,Station virtuelle. Cumul des stations I3463510 et I3463610.,,,61222,LANDISACQ,61,28,NORMANDIE,I2470600,La Visance,http://id.eaufrance.fr/CEA/I2470600,,2023-10-05T00:00:00Z,1975-07-01T00:00:00Z,2005-12-31T00:00:00Z,,1,16,12.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.656321822487751,48.7439377930009
I3463610,Le ruisseau de l'Aubrière à Chanu,I346361001,Le ruisseau de l'Aubrière à Chanu,LIMNI,430989.0,6854883.0,26,-0.659292428,48.737958238,1.0,Station en service effectif du 28/06/1993 au 04/10/1999. Les données antérieures et postérieures sont reconstituées.,,,61093,CHANU,61,28,NORMANDIE,I2472000,Ruisseau de l'Aubriere,http://id.eaufrance.fr/CEA/I2472000,,2023-10-05T00:00:00Z,1975-07-01T00:00:00Z,1999-10-05T00:00:00Z,,1,20,12.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.659292428362219,48.7379582383492
M0010610,La Sarthe au Mêle-sur-Sarthe,M001061001,La Sarthe au Mêle-sur-Sarthe,LIMNI,504892.0,6826439.0,26,0.358036962,48.508819977,1.0,"Cette station a été gérée par le Service de Bassin Loire-Bretagne jusqu'au 15/09/2000, avant d'être suivie par la DREAL Basse-Normandie qui a bancarisé les hauteurs jusqu'en février 2001. La station a continué de fonctionner ensuite pour les besoins opérationnels du SPC Maine Loire aval, les hauteurs bancarisées depuis 2001 sont brutes (pas d'expertise). Son emplacement ne permet pas la constitution d'une courbe de tarage.",145000.0,3.0,61258,MELE-SUR-SARTHE,61,28,NORMANDIE,M---0060,la Sarthe,http://id.eaufrance.fr/CEA/M---0060,,2021-10-07T00:00:00Z,1991-06-01T00:00:00Z,,,1,12,2.0,1.0,2.0,1991-06-01T00:00:00Z,2020-08-18T00:00:00Z,2020-08-18T00:00:00Z,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.358036961725985,48.5088199774832
M0014110,L'Hoëne à la Mesnière [La Foulerie],M001411001,L'Hoëne à la Mesnière [La Foulerie],LIMNI,511125.0,6830559.0,26,0.440570488,48.547708617,1.0,,,,61277,MESNIERE,61,28,NORMANDIE,M0014000,l'Hoëne,http://id.eaufrance.fr/CEA/M0014000,,2023-04-11T00:00:00Z,1979-10-01T00:00:00Z,,,1,20,12.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.440570488221726,48.547708616751
M0030003,La Vézone à Neuilly-le-Bisson et aux Ventes-de-Bourse,M003000301,La Vézone à Neuilly-le-Bisson - RD 506,LIMNI,495940.0,6825520.0,26,0.237349625,48.497802133,0.0,"Station d'essai installée en octobre 2019. Les crues de l'hiver 2019-2020 ont montré que la station ne serait pas de bonne qualité en hautes eaux (débordements généralisés sur la route contournant le pont dans des proportions importantes). La station M00300302 ""Voie verte"" a été choisie comme second site d'essai suite à ce premier échec.",,,61304,NEUILLY-LE-BISSON,61,28,NORMANDIE,M0034000,la Vézone,http://id.eaufrance.fr/CEA/M0034000,,2021-10-07T00:00:00Z,2019-10-29T00:00:00Z,2020-09-15T00:00:00Z,,1,16,27.0,,,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.237349624576219,48.4978021332568
M0030003,La Vézone à Neuilly-le-Bisson et aux Ventes-de-Bourse,M003000302,La Vézone aux Ventes-de-Bourse - Voie verte,LIMNI,495480.0,6825090.0,26,0.231331085,48.49379134,,"Station d'essai installée en septembre 2020. Une première station d'essai M00300301 ""RD 506"" a fonctionné d'octobre 2019 à septembre 2020. Les crues de l'hiver 2019-2020 ont montré que cette première station d'essai ne serait pas de bonne qualité en hautes eaux (débordements généralisés sur la route contournant le pont dans des proportions importantes). La station M00300302 ""Voie verte"" a été choisie comme second site d'essai suite à ce premier échec.",,,61499,VENTES-DE-BOURSE,61,28,NORMANDIE,M0034000,la Vézone,http://id.eaufrance.fr/CEA/M0034000,,2023-04-11T00:00:00Z,2020-09-15T00:00:00Z,,,1,16,27.0,,,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.231331085121687,48.4937913403132
M0040610,La Sarthe à Alençon,M004061001,La Sarthe à Alençon,LIMNI,486679.0,6818908.0,26,0.115348266,48.435378989,3.0,,130523.0,3.0,61001,ALENCON,61,28,NORMANDIE,M---0060,la Sarthe,http://id.eaufrance.fr/CEA/M---0060,,2021-10-07T00:00:00Z,2001-01-01T00:00:00Z,,Vannes en aval.,1,16,2.0,1.0,2.0,2001-01-01T00:00:00Z,2013-11-18T00:00:00Z,2021-09-24T00:00:00Z,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.115348266427007,48.4353789888003
M0050610,La Sarthe à Mieuxcé et à Saint-Céneri-le-Gérei,M005061010,La Sarthe à Mieuxcé,LIMNI,478965.0,6815215.0,26,0.013021022,48.399598249,1.0,,,,61279,MIEUXCE,61,28,NORMANDIE,M---0060,la Sarthe,http://id.eaufrance.fr/CEA/M---0060,,2021-05-12T00:00:00Z,1967-12-01T00:00:00Z,1979-01-01T00:00:00Z,,1,20,12.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.0130210223005536,48.3995982494507
M0050610,La Sarthe à Mieuxcé et à Saint-Céneri-le-Gérei,M005061020,La Sarthe à Saint-Céneri-le-Gérei - Moulin-du-Désert,LIMNI,476203.0,6813795.0,26,-0.023532875,48.385886744,1.0,Cette station a été gérée par le Service de Bassin Loire-Bretagne jusqu'au 15/09/2000.,121330.0,3.0,61372,SAINT-CENERI-LE-GEREI,61,28,NORMANDIE,M---0060,la Sarthe,http://id.eaufrance.fr/CEA/M---0060,,2023-04-13T00:00:00Z,1977-12-01T00:00:00Z,,,1,20,12.0,1.0,2.0,1977-12-01T00:00:00Z,2013-11-18T00:00:00Z,2017-06-30T00:00:00Z,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.0235328751361273,48.3858867443
M0064310,Le Sarthon [partiel] à la Ferrière-Bochard,M006431001,Le Sarthon [partiel] à la Ferrière-Bochard,LIMNI,474030.0,6816705.0,26,-0.054381314,48.41129532,1.0,,160000.0,2.0,61165,FERRIERE-BOCHARD,61,28,NORMANDIE,M0064000,le Sarthon,http://id.eaufrance.fr/CEA/M0064000,,2023-10-05T00:00:00Z,1971-01-01T00:00:00Z,1985-01-01T00:00:00Z,,1,20,12.0,1.0,2.0,1971-01-01T00:00:00Z,2013-11-18T00:00:00Z,2023-10-05T00:00:00Z,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.0543813140075337,48.4112953198573
M0064320,Le Sarthon [bief] à la Ferrière-Bochard,M006432001,Le Sarthon [bief] à la Ferrière-Bochard,LIMNI,474030.0,6816705.0,26,-0.054381314,48.41129532,1.0,,160000.0,2.0,61165,FERRIERE-BOCHARD,61,28,NORMANDIE,M0064000,le Sarthon,http://id.eaufrance.fr/CEA/M0064000,,2021-05-12T00:00:00Z,1971-02-01T00:00:00Z,1985-01-01T00:00:00Z,,1,20,12.0,1.0,2.0,1971-02-01T00:00:00Z,2013-11-18T00:00:00Z,2013-11-18T00:00:00Z,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.0543813140075337,48.4112953198573
M0064330,Le Sarthon à Saint-Céneri-le-Gérei,M006433001,Le Sarthon à Saint-Céneri-le-Gérei,LIMNI,473855.0,6813577.0,26,-0.055109346,48.383114025,,Station gérée par le Conseil Général de l'Orne. Gestion des courbes de tarage et mise en banque par la DREAL.,,,61372,SAINT-CENERI-LE-GEREI,61,28,NORMANDIE,M0064000,le Sarthon,http://id.eaufrance.fr/CEA/M0064000,,2021-05-12T00:00:00Z,2011-08-26T00:00:00Z,,,1,16,12.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.055109345818583,48.3831140247494
M0064350,Le Sarthon à la Roche-Mabile,M006435001,Le Sarthon à la Roche-Mabile,LIMNI,474686.0,6825843.0,26,-0.050292154,48.493669704,2.0,Station gérée par le Conseil Général de l'Orne. Gestion des courbes de tarage et mise en banque par la DREAL Normandie.,,,61350,ROCHE-MABILE,61,28,NORMANDIE,M0064000,le Sarthon,http://id.eaufrance.fr/CEA/M0064000,,2023-09-20T00:00:00Z,2011-08-26T00:00:00Z,,,1,16,7.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,-0.0502921543362971,48.4936697037161
M0301510,L'Huisne à Réveillon [Moulin de Réveillon],M030151001,L'Huisne à Réveillon [Moulin de Réveillon],LIMNI,519963.0,6821671.0,26,0.563970007,48.470307942,1.0,,,,61348,REVEILLON,61,28,NORMANDIE,M0--0150,l'Huisne,http://id.eaufrance.fr/CEA/M0--0150,,2023-04-11T00:00:00Z,1996-10-04T00:00:00Z,,,1,20,12.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.563970007233305,48.4703079419427
